Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
655.091102,6.94356e-012,6.94356e-012
655.098698,2.45269e-011,2.45269e-011
655.106293,5.75146e-011,5.75146e-011
655.113889,4.32088e-011,4.32088e-011
655.121484,6.92709e-012,6.92709e-012
655.12908,9.58881e-012,9.58881e-012
655.136675,6.60536e-012,6.60536e-012
655.144271,1.29425e-011,1.29425e-011
655.151866,9.67485e-012,9.67485e-012
655.159462,4.07774e-012,4.07774e-012
655.167057,7.20073e-012,7.20073e-012
655.174653,8.94556e-012,8.94556e-012
655.182248,7.38512e-012,7.38512e-012
655.189844,3.24385e-011,3.24385e-011
655.197439,8.80378e-011,8.80378e-011
655.205035,1.11274e-011,1.11274e-011
655.21263,2.44352e-012,2.44352e-012
655.220226,1.75707e-011,1.75707e-011
655.227821,4.78978e-011,4.78978e-011
655.235417,3.7856e-011,3.7856e-011
655.243012,3.77019e-011,3.77019e-011
655.250608,3.73723e-011,3.73723e-011
655.258203,3.82164e-011,3.82164e-011
655.265799,3.11194e-011,3.11194e-011
655.273394,1.84819e-011,1.84819e-011
655.28099,9.97185e-012,9.97185e-012
655.288585,5.23284e-012,5.23284e-012
655.296181,1.08274e-012,1.08274e-012
655.303776,6.51835e-012,6.51835e-012
655.311372,1.03627e-011,1.03627e-011
655.318967,2.41972e-011,2.41972e-011
655.326563,4.5284e-011,4.5284e-011
655.334158,7.76075e-011,7.76075e-011
655.341753,8.09508e-011,8.09508e-011
655.349349,4.6678e-011,4.6678e-011
655.356944,2.20381e-011,2.20381e-011
655.36454,2.9234e-011,2.9234e-011
655.372135,3.09851e-011,3.09851e-011
655.379731,5.0582e-011,5.0582e-011
655.387326,7.7319e-011,7.7319e-011
655.394922,5.37268e-012,5.37268e-012
655.402517,5.54468e-012,5.54468e-012
655.410113,1.34599e-011,1.34599e-011
